gender,industry,state,year,final_income,recommendation
female,Accommodation & food services,ACT,2023,1380.2676213740924,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,ACT,2024,1434.9024880052748,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,ACT,2025,1489.5373546364572,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,ACT,2026,1544.172221267625,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,ACT,2027,1598.8070878988074,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,ACT,2028,1653.4419545299897,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,ACT,2029,1708.0768211611576,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,ACT,2030,1762.71168779234,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NSW,2023,1260.5974050142104,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NSW,2024,1315.2322716453928,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NSW,2025,1369.8671382765606,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NSW,2026,1424.502004907743,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NSW,2027,1479.1368715389253,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NSW,2028,1533.7717381700932,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NSW,2029,1588.4066048012755,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NSW,2030,1643.0414714324434,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NT,2023,1216.061216419388,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NT,2024,1270.6960830505705,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NT,2025,1325.3309496817528,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NT,2026,1379.9658163129207,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NT,2027,1434.600682944103,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NT,2028,1489.2355495752854,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NT,2029,1543.8704162064532,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,NT,2030,1598.5052828376356,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,QLD,2023,1201.0264212645707,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,QLD,2024,1255.661287895753,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,QLD,2025,1310.2961545269209,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,QLD,2026,1364.9310211581032,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,QLD,2027,1419.5658877892856,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,QLD,2028,1474.2007544204534,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,QLD,2029,1528.8356210516358,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,QLD,2030,1583.4704876828182,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,SA,2023,1134.0443243043555,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,SA,2024,1188.679190935538,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,SA,2025,1243.3140575667057,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,SA,2026,1297.9489241978881,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,SA,2027,1352.5837908290705,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,SA,2028,1407.2186574602383,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,SA,2029,1461.8535240914207,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,SA,2030,1516.4883907225885,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,TAS,2023,1103.6963520686259,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,TAS,2024,1158.3312186997937,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,TAS,2025,1212.966085330976,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,TAS,2026,1267.6009519621439,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,TAS,2027,1322.2358185933263,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,TAS,2028,1376.8706852245086,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,TAS,2029,1431.5055518556765,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,TAS,2030,1486.1404184868588,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,VIC,2023,1248.7027777000476,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
female,Accommodation & food services,VIC,2024,1303.3376443312154,"Unfortunately, your predicted income is significantly below the average. This is only a prediction and not indicative of your actual income. If you want to increase your earnings, you could consider relocating or switching industries. Best of luck!"
